rent_1;Nombre;ImportFile_CustomDelayToBuy;Dias_depl_reemb;ISIN;Gestora;Inv_minima_inicial;1_Day_Return;1_Week_Return;rent_1_mes;rent_3_meses;rent_6_meses;rent_en_el_anio;rent_3_anios;rent_5_anios;rent_10_anios;Estilo_inversion_RV;Estilo_inversion_ RF;Capitaliz_media_bursatil;Patrimonio;Morningstar_Rating;Volatilidad_3;Sharpe_ 3;Ratio_de_informacion;Media_3;Com_Gestion;ImportFile_CustomBuyFee2;Com_Suscripcion;Com_deposito
3,18;Metavalor Internacional FI;0;1;ES0162757035;Metagestión SGIIC;60;1,17;3,42;1,24;3,35;9,49;4,15;12,27;;;5;;2605,90534;29,41458;5;13,02;1;0,17;1,08;2;0;0;0,08
3,13;BBVA Bolsa Tecnología y Telecomunicaciones FI;0;1;ES0147711032;BBVA Asset Management SGIIC;600;0,32;2,05;0,58;-0,3;13,91;5,62;14,14;13,51;5,76;2;;113363,7019;158,82165;3;13,62;1,1;-1,97;1,24;2,25;0;0;0,2
3,04;Fonmarch FI;0;2;ES0138841038;March Asset Management SGIIC;0;-0,12;-0,24;-0,22;-0,47;1,79;3,57;3,07;3,81;2,2;7;8;;161,35489;5;2,7;1,2;0,89;0,27;1;0;0;0
2,87;Avance Global A FI;0;3;ES0112340031;Alpha Plus Gestora SGIIC;3000000;-0,12;0,99;2,21;2,68;7,21;7,11;3,96;6,95;3,21;4;;8008,27225;73,45506;4;6,54;0,63;-1,25;0,34;0,8;0;0;0,15
2,8;Renta 4 Renta Fija Corto Plazo FI;0;1;ES0176954008;Renta 4 Gestora SGIIC;0;0,01;-0,06;-0,01;0,16;1,53;3,16;2,41;;;;;;38,51697;5;1,92;1,45;0,97;0,23;0,6;0;0;0,1
2,78;Eurovalor Bonos Euro Largo Plazo FI;0;1;ES0133479032;Allianz Popular Asset Management SGIIC;600;-0,13;-0,36;-0,84;-1,29;1,53;2,61;4,22;5,09;3,98;;;;139,85825;4;3,4;1,3;-0,44;0,36;1;0;0;0,1
2,76;Merchfondo FI;0;2;ES0162332037;Merchbanc SGIIC;0;2,96;16,79;11,65;18,86;34,85;14,37;11,64;23,15;8,01;3;;14570,69342;62,83214;3;21,05;0,46;-0,32;0,81;1,35;0;0;0,1
2,76;Renta 4 Nexus FI;0;1;ES0173268006;Renta 4 Gestora SGIIC;10;-0,11;-0,14;-0,42;1,54;3,06;4,4;3,64;6,03;;1;;9211,67642;165,17187;4;6,43;0,62;-0,28;0,33;1;0;0;0,1
2,69;Amundi Fondtesoro Largo Plazo FI;0;1;ES0126531039;Amundi Iberia SGIIC;0;-0,4;-0,54;-0,97;-1,18;0,76;1,97;3,75;5,78;3,97;;;;17,87231;3;2,96;1,36;-0,96;0,33;0,55;0;0;0,02
2,66;Santander Renta Fija Privada FI;0;1;ES0175164039;Santander Asset Management SGIIC;300;-0,08;-0,29;-0,82;-1,38;0,62;2,66;2,76;4,04;2,65;;;;583,84052;2;2,63;1,09;-1,93;0,23;1,4;0;0;0,1
